Observation ID,Date,Plot No,Rep,Species,PAW Trt,Irrigated After,TQ,NDVI Scan,NDRE Scan,FvFm,Absorptivity,Gmax,Percent Cover,Mean VWC,Min VWC,VWC at 7 AM,Suction Mean VWC,Suction Min VWC,Suction VWC at 7 AM
56,07/04/22,502,1,CBG,75,No,9,0.8054,0.3303,NA,NA,NA,96.28182522,0.408875,0.399,0.399,,,
57,07/04/22,503,2,KBG,60,No,8,0.7972,0.3539,NA,NA,NA,93.09669124,0.386333333,0.374,0.374,,,
58,07/04/22,504,2,KBG,15,No,9,0.8383,0.3667,NA,NA,NA,94.56587289,0.394875,0.383,0.383,,,
59,07/04/22,505,3,CBG,75,No,9,0.8292,0.3635,NA,NA,NA,97.60180299,0.381260417,0.364,0.368,,,
60,07/04/22,506,3,CBG,30,No,9,0.8015,0.35,NA,NA,NA,96.699635,0.381708333,0.369,0.369,,,
61,07/06/22,101,1,CBG,15,No,8,0.7854,0.391,NA,NA,55.5,85.26627188,0.388322917,0.38,0.39,,,
62,07/06/22,102,1,CBG,60,No,8,0.7786,0.3063,NA,NA,47.5,89.43754317,0.342458333,0.334,0.346,,,
63,07/06/22,103,2,CBG,15,No,8,0.7782,0.3069,NA,NA,48,91.65466286,0.348135417,0.341,0.35,,,
64,07/06/22,104,2,KBG,75,Yes,8,0.7913,0.3169,0.721,0.882,51,92.10162103,0.339875,0.318,0.321,,,
65,07/06/22,105,3,CBG,15,No,9,0.8088,0.3273,NA,NA,50,90.04993738,0.284489583,0.275,0.288,,,
66,07/06/22,106,3,KBG,45,No,8,0.7947,0.3308,NA,NA,50.5,92.62962187,0.283020833,0.275,0.286,,,
67,07/06/22,201,1,CBG,30,No,9,0.7819,0.3038,NA,NA,54.5,86.74273193,0.390604167,0.385,0.391,,,
68,07/06/22,202,1,CBG,45,No,9,0.7824,0.3054,NA,NA,48.5,91.59294585,0.341052083,0.334,0.343,,,
69,07/06/22,203,2,KBG,45,No,8,0.7987,0.3317,NA,NA,47.5,93.02002118,0.334666667,0.326,0.338,,,
70,07/06/22,204,2,CBG,45,No,9,0.8145,0.3384,NA,NA,49,95.08725573,0.337072917,0.327,0.341,,,
71,07/06/22,205,3,CBG,45,No,9,0.803,0.3264,NA,NA,47,92.81279164,0.33765625,0.331,0.34,,,
72,07/06/22,206,3,KBG,30,No,8,0.7714,0.3202,NA,NA,48.5,92.84413676,0.346947917,0.34,0.349,,,
73,07/06/22,301,1,KBG,75,No,8,0.7727,0.3252,NA,NA,50.5,91.46161474,0.392677083,0.386,0.395,,,
74,07/06/22,302,1,KBG,45,No,8,0.8072,0.3383,NA,NA,49.5,91.18719723,0.367489583,0.361,0.369,,,
75,07/06/22,303,2,CBG,75,No,8,0.7912,0.3364,NA,NA,49.5,95.67080743,NA,NA,NA,,,
76,07/06/22,304,2,CBG,30,No,8,0.8291,0.3454,NA,NA,48,96.08560019,0.357989583,0.352,0.36,,,
77,07/06/22,305,3,KBG,75,No,8,0.8068,0.3378,NA,NA,47.5,91.52276171,0.345802083,0.338,0.349,,,
78,07/06/22,306,3,KBG,60,No,8,0.7859,0.346,NA,NA,47,89.81741069,0.367291667,0.361,0.369,,,
79,07/06/22,401,1,KBG,60,No,8,0.7696,0.3215,NA,NA,50,93.06509587,0.38975,0.383,0.391,,,
80,07/06/22,402,1,KBG,15,No,8,0.7992,0.3442,NA,NA,49,92.64859995,0.386541667,0.38,0.389,,,
81,07/06/22,403,2,KBG,30,No,8,0.8215,0.358,NA,NA,47,92.22638975,0.357791667,0.35,0.361,,,
82,07/06/22,404,2,CBG,60,No,9,0.8165,0.348,NA,NA,49.5,97.1839793,0.340697917,0.334,0.343,,,
83,07/06/22,405,3,CBG,60,No,8,0.7938,0.3309,NA,NA,44.5,96.63795971,0.35490625,0.348,0.358,,,
84,07/06/22,406,3,KBG,15,No,8,0.8148,0.3554,NA,NA,47,94.39746848,0.361114583,0.353,0.364,,,
85,07/06/22,501,1,KBG,30,No,8,0.799,0.3279,NA,NA,50,90.90388853,0.3895,0.384,0.39,,,
86,07/06/22,502,1,CBG,75,No,8,0.8072,0.3406,NA,NA,47.5,97.10131689,0.391822917,0.385,0.394,,,
87,07/06/22,503,2,KBG,60,No,8,0.8084,0.3467,NA,NA,48,91.53937622,0.363229167,0.355,0.366,,,
88,07/06/22,504,2,KBG,15,No,8,0.8227,0.3555,NA,NA,47,93.0505321,0.376802083,0.37,0.379,,,
89,07/06/22,505,3,CBG,75,No,8,0.8286,0.3523,NA,NA,47,96.36911745,0.36359375,0.357,0.366,,,
90,07/06/22,506,3,CBG,30,No,9,0.8238,0.3511,NA,NA,48,97.0195582,0.365177083,0.362,0.364,,,
91,07/07/22,305,3,KBG,75,Yes,NA,NA,NA,0.743,0.887,51.5,NA,0.350447917,0.336,0.336,,,
92,07/08/22,101,1,CBG,15,No,8,0.8144,0.3,0.709,0.866,57,87.31739244,0.384,0.377,0.387,,,
93,07/08/22,102,1,CBG,60,No,8,0.8161,0.3117,0.71,0.864,48.5,89.18475928,0.335083333,0.331,0.336,,,
94,07/08/22,103,2,CBG,15,No,8,0.8119,0.3117,0.718,0.881,51,88.58644916,0.3405625,0.336,0.342,,,
95,07/08/22,104,2,KBG,75,No,9,0.8116,0.3352,0.723,0.887,47,92.84937833,0.338229167,0.325,0.346,,,
96,07/08/22,105,3,CBG,15,No,8,0.8263,0.3191,0.722,0.883,49.5,92.24351869,0.277260417,0.269,0.283,,,
97,07/08/22,106,3,KBG,45,No,8,0.7954,0.3095,0.725,0.874,49,92.79571832,0.27071875,0.263,0.275,,,
98,07/08/22,201,1,CBG,30,No,8,0.7962,0.2971,0.719,0.866,49,89.76078927,0.386239583,0.381,0.388,,,
99,07/08/22,202,1,CBG,45,No,9,0.7951,0.3058,0.724,0.88,48,91.66723844,0.336802083,0.332,0.338,,,
100,07/08/22,203,2,KBG,45,No,8,0.8171,0.3247,0.728,0.878,48.5,91.30442339,0.324260417,0.318,0.328,,,
101,07/08/22,204,2,CBG,45,No,9,0.8244,0.33,0.723,0.873,46.5,94.40785428,0.3288125,0.318,0.336,,,
102,07/08/22,205,3,CBG,45,No,8,0.8188,0.3266,0.723,0.884,51,92.60233653,0.329125,0.322,0.333,,,
103,07/08/22,206,3,KBG,30,No,8,0.8435,0.3553,0.72,0.885,50,92.7202648,0.336260417,0.33,0.339,,,
104,07/08/22,301,1,KBG,75,No,9,0.8208,0.3244,0.732,0.893,51.5,93.02314249,0.383572917,0.378,0.385,,,
105,07/08/22,302,1,KBG,45,No,8,0.8231,0.3371,0.733,0.893,47,91.69539274,0.357385417,0.353,0.359,,,
106,07/08/22,303,2,CBG,75,No,8,0.8344,0.3614,0.736,0.901,50,95.27213562,0.363979167,0.359,0.366,,,
107,07/08/22,304,2,CBG,30,No,9,0.8441,0.3454,0.729,0.89,46,96.79092444,0.352479167,0.346,0.356,,,
108,07/08/22,305,3,KBG,75,No,8,0.8389,0.3469,0.729,0.877,43.5,92.26854473,0.373354167,0.36,0.381,,,
109,07/08/22,306,3,KBG,60,No,8,0.8463,0.362,0.737,0.898,49.5,90.31117451,0.363125,0.356,0.367,,,
110,07/08/22,401,1,KBG,60,No,8,0.8554,0.3555,0.733,0.89,50.5,92.41607325,0.3841875,0.378,0.386,,,
111,07/08/22,402,1,KBG,15,No,8,0.8236,0.3472,0.741,0.901,47.5,91.83796472,0.376958333,0.372,0.379,,,
112,07/08/22,403,2,KBG,30,No,8,0.8369,0.3508,0.733,0.892,44.5,94.97876088,0.350145833,0.343,0.354,,,
113,07/08/22,404,2,CBG,60,No,9,0.8349,0.3416,0.734,0.894,45,97.51648504,0.336510417,0.328,0.342,,,
114,07/08/22,405,3,CBG,60,No,8,0.8309,0.3452,0.73,0.894,42,96.12047676,0.348427083,0.34,0.354,,,
115,07/08/22,406,3,KBG,15,No,8,0.8495,0.3584,0.743,0.896,51,94.44719383,0.354260417,0.345,0.36,,,
116,07/08/22,501,1,KBG,30,No,9,0.8416,0.3504,0.735,0.88,53.5,90.94791351,0.38325,0.379,0.384,,,
117,07/08/22,502,1,CBG,75,No,9,0.8473,0.3569,0.733,0.899,46.5,96.53530427,0.388583333,0.384,0.39,,,
118,07/08/22,503,2,KBG,60,No,9,0.8605,0.3808,0.737,0.9,46.5,93.95536258,0.35309375,0.344,0.355,,,
119,07/08/22,504,2,KBG,15,No,9,0.8613,0.3692,0.748,0.909,46,94.31944284,0.373541667,0.367,0.377,,,
120,07/08/22,505,3,CBG,75,No,8,0.8339,0.3571,0.733,0.906,43,97.34951267,0.361708333,0.355,0.367,,,
121,07/08/22,506,3,CBG,30,No,8,0.8505,0.3534,0.732,0.901,44.5,97.74733638,0.368895833,0.362,0.373,,,
122,07/09/22,104,2,KBG,75,Yes,NA,NA,NA,0.692,0.879,58,NA,0.3369375,0.317,0.321,,,
123,07/10/22,104,2,KBG,75,Yes,NA,NA,NA,0.699,0.875,57,NA,0.35140625,0.325,0.331,,,
124,07/10/22,303,2,CBG,75,Yes,NA,NA,NA,0.72,0.888,60.5,NA,0.348291667,0.331,0.335,,,
125,07/10/22,305,3,KBG,75,Yes,NA,NA,NA,0.712,0.883,54.5,NA,0.354020833,0.323,0.328,,,
126,07/10/22,505,3,CBG,75,Yes,NA,NA,NA,0.722,0.896,62.5,NA,0.332604167,0.319,0.323,,,
127,07/11/22,101,1,CBG,15,No,8,0.7961,0.2929,NA,NA,62.5,86.62816132,0.3394375,0.324,0.346,,,
128,07/11/22,102,1,CBG,60,No,8,0.7884,0.312,NA,NA,61,87.27253326,0.303447917,0.293,0.307,,,
129,07/11/22,103,2,CBG,15,No,8,0.8232,0.3339,NA,NA,60.5,88.00102051,0.30196875,0.291,0.307,,,
130,07/11/22,104,2,KBG,75,No,7,0.7974,0.3137,NA,NA,49.5,91.95006748,0.342375,0.32,0.353,,,
131,07/11/22,105,3,CBG,15,No,8,0.8105,0.3159,NA,NA,66.5,93.26665978,0.227322917,0.212,0.235,,,
132,07/11/22,106,3,KBG,45,No,8,0.8044,0.3178,NA,NA,62.5,93.19381315,0.214697917,0.199,0.223,,,
133,07/11/22,201,1,CBG,30,No,8,0.7727,0.2902,NA,NA,57.5,89.41705657,0.352739583,0.341,0.357,,,
134,07/11/22,202,1,CBG,45,No,9,0.781,0.3106,NA,NA,58,91.54643217,0.297979167,0.286,0.303,,,
135,07/11/22,203,2,KBG,45,No,8,0.7888,0.3085,NA,NA,57.5,92.29422423,0.273333333,0.258,0.282,,,
136,07/11/22,204,2,CBG,45,No,9,0.8135,0.3334,NA,NA,63,94.93113493,0.279916667,0.263,0.288,,,
137,07/11/22,205,3,CBG,45,No,9,0.8117,0.3223,NA,NA,62.5,95.74291024,0.2839375,0.271,0.291,,,
138,07/11/22,206,3,KBG,30,No,8,0.8228,0.3411,NA,NA,64,93.21197093,0.28846875,0.274,0.295,,,
139,07/11/22,301,1,KBG,75,No,9,0.7979,0.3073,NA,NA,66.5,91.95559407,0.346114583,0.333,0.351,,,
140,07/11/22,302,1,KBG,45,No,8,0.7977,0.3226,NA,NA,58,92.0625804,0.324083333,0.313,0.329,,,
141,07/11/22,303,2,CBG,75,No,8,0.8332,0.3539,NA,NA,52,96.58164416,0.358666667,0.343,0.364,,,
142,07/11/22,304,2,CBG,30,No,9,0.833,0.3526,NA,NA,63,96.61581166,0.322770833,0.308,0.329,,,
143,07/11/22,305,3,KBG,75,No,8,0.8242,0.335,NA,NA,49,91.22272031,0.3590625,0.339,0.369,,,
144,07/11/22,306,3,KBG,60,No,8,0.8342,0.3522,NA,NA,61.5,89.64254817,0.322083333,0.307,0.329,,,
145,07/11/22,401,1,KBG,60,No,8,0.805,0.3318,NA,NA,61.5,93.81450767,0.353510417,0.34,0.359,,,
146,07/11/22,402,1,KBG,15,No,9,0.826,0.3494,NA,NA,57,92.6985269,0.338989583,0.326,0.345,,,
147,07/11/22,403,2,KBG,30,No,9,0.8201,0.3362,NA,NA,63.5,96.07915598,0.30328125,0.288,0.31,,,
148,07/11/22,404,2,CBG,60,No,8,0.8191,0.3502,NA,NA,59.5,97.45677012,0.293197917,0.281,0.299,,,
149,07/11/22,405,3,CBG,60,No,9,0.821,0.3374,NA,NA,57.5,96.98997186,0.296770833,0.279,0.306,,,
150,07/11/22,406,3,KBG,15,No,8,0.8374,0.3604,NA,NA,65,95.25783602,0.304510417,0.289,0.312,,,
151,07/11/22,501,1,KBG,30,No,8,0.8102,0.3374,NA,NA,67.5,90.880802,0.350083333,0.338,0.354,,,
152,07/11/22,502,1,CBG,75,No,9,0.818,0.3432,NA,NA,58.5,95.9603796,0.361020833,0.349,0.365,,,
153,07/11/22,503,2,KBG,60,No,9,0.8376,0.3579,NA,NA,63.5,94.93520167,0.294947917,0.275,0.305,,,
154,07/11/22,504,2,KBG,15,No,9,0.8514,0.379,NA,NA,60.5,96.02861033,0.333239583,0.315,0.341,,,
155,07/11/22,505,3,CBG,75,No,8,0.8281,0.3478,NA,NA,48,98.19536511,0.34046875,0.324,0.348,,,
156,07/11/22,506,3,CBG,30,No,8,0.8327,0.3627,NA,NA,44,98.10791994,0.3211875,0.305,0.328,,,
157,07/12/22,104,2,KBG,75,Yes,NA,NA,NA,NA,NA,59,NA,0.3181875,0.295,0.317,,,
158,07/12/22,106,3,KBG,45,Yes,NA,NA,NA,NA,NA,77.5,NA,0.19496875,0.175,0.2,,,
159,07/12/22,301,1,KBG,75,Yes,NA,NA,NA,NA,NA,75.5,NA,0.326145833,0.309,0.333,,,
160,07/12/22,305,3,KBG,75,Yes,NA,NA,NA,NA,NA,54.5,NA,0.335885417,0.314,0.335,,,
161,07/12/22,404,2,CBG,60,Yes,NA,NA,NA,NA,NA,62,NA,0.273635417,0.259,0.278,,,
162,07/12/22,405,3,CBG,60,Yes,NA,NA,NA,NA,NA,66.5,NA,0.269541667,0.244,0.278,,,
163,07/12/22,503,2,KBG,60,Yes,NA,NA,NA,NA,NA,80.5,NA,0.26878125,0.24,0.274,,,
164,07/12/22,505,3,CBG,75,Yes,NA,NA,NA,NA,NA,62.5,NA,0.322791667,0.298,0.321,,,
165,07/13/22,101,1,CBG,15,No,8,0.78,0.3047,NA,NA,64,85.8417944,0.316375,0.308,0.319,,,
166,07/13/22,102,1,CBG,60,No,8,0.7732,0.3044,NA,NA,57.5,86.91893613,0.298625,0.289,0.301,,,
167,07/13/22,103,2,CBG,15,No,8,0.7776,0.318,NA,NA,55.5,87.45853932,0.281333333,0.276,0.281,,,
168,07/13/22,104,2,KBG,75,No,7,0.7852,0.3282,NA,NA,53,88.74513513,0.34465625,0.322,0.355,,,
169,07/13/22,105,3,CBG,15,No,8,0.8091,0.3364,NA,NA,67,90.45344061,0.210604167,0.199,0.216,,,
170,07/13/22,106,3,KBG,45,No,8,0.7842,0.3098,NA,NA,53,93.045367,0.222822917,0.209,0.229,,,
171,07/13/22,201,1,CBG,30,No,8,0.7761,0.3008,NA,NA,72,89.68634374,0.338916667,0.332,0.341,,,
172,07/13/22,202,1,CBG,45,No,9,0.7881,0.3165,NA,NA,54,91.35296001,0.28878125,0.282,0.29,,,
173,07/13/22,203,2,KBG,45,No,8,0.7838,0.3135,NA,NA,54.5,92.2738002,0.274708333,0.263,0.28,,,
174,07/13/22,204,2,CBG,45,No,9,0.8065,0.3241,NA,NA,66,96.75266936,0.300645833,0.277,0.308,,,
175,07/13/22,205,3,CBG,45,No,8,0.812,0.3436,NA,NA,68,94.99507647,0.273885417,0.265,0.278,,,
176,07/13/22,206,3,KBG,30,No,8,0.7855,0.3279,NA,NA,70,93.16230814,0.25634375,0.248,0.257,,,
177,07/13/22,301,1,KBG,75,No,8,0.8124,0.3342,NA,NA,58,91.15323133,0.340645833,0.329,0.341,,,
178,07/13/22,302,1,KBG,45,No,9,0.7987,0.3238,NA,NA,66.5,93.10748025,0.298739583,0.294,0.298,,,
179,07/13/22,303,2,CBG,75,No,9,0.8245,0.3566,NA,NA,53,96.40227,0.35334375,0.343,0.357,,,
180,07/13/22,304,2,CBG,30,No,9,0.8101,0.341,NA,NA,56.5,96.20582947,0.32309375,0.314,0.325,,,
181,07/13/22,305,3,KBG,75,No,8,0.8022,0.336,NA,NA,54,91.45340481,0.36290625,0.345,0.372,,,
182,07/13/22,306,3,KBG,60,No,8,0.7975,0.3427,NA,NA,64.5,92.22296258,0.318677083,0.308,0.323,,,
183,07/13/22,401,1,KBG,60,No,8,0.8179,0.3378,NA,NA,67.5,92.79222163,0.362739583,0.35,0.366,,,
184,07/13/22,402,1,KBG,15,No,8,0.8092,0.3456,NA,NA,58.5,90.68911642,0.311739583,0.302,0.312,,,
185,07/13/22,403,2,KBG,30,No,9,0.7956,0.3403,NA,NA,64,95.34682446,0.2740625,0.263,0.277,,,
186,07/13/22,404,2,CBG,60,No,9,0.8045,0.3354,NA,NA,50,98.68977544,0.297875,0.289,0.299,,,
187,07/13/22,405,3,CBG,60,No,8,0.8032,0.3387,NA,NA,60.5,97.61557426,0.3031875,0.291,0.31,,,
188,07/13/22,406,3,KBG,15,No,8,0.8173,0.3501,NA,NA,60.5,95.58717179,0.285625,0.274,0.29,,,
189,07/13/22,501,1,KBG,30,No,8,0.7915,0.3284,NA,NA,60,90.44250562,0.353177083,0.343,0.356,,,
190,07/13/22,502,1,CBG,75,No,8,0.7928,0.3322,NA,NA,54,96.44361859,0.367489583,0.353,0.372,,,
191,07/13/22,503,2,KBG,60,No,9,0.8179,0.356,NA,NA,53,95.30551758,0.3121875,0.293,0.321,,,
192,07/13/22,504,2,KBG,15,No,8,0.8216,0.3516,NA,NA,65.5,95.24189582,0.336895833,0.317,0.345,,,
193,07/13/22,505,3,CBG,75,No,8,0.821,0.3546,NA,NA,49.5,98.22427019,0.356322917,0.338,0.363,,,
194,07/13/22,506,3,CBG,30,No,9,0.8394,0.3666,NA,NA,52,98.44541698,0.313729167,0.297,0.32,,,
195,07/14/22,104,2,KBG,75,Yes,NA,NA,NA,0.702,0.872,60,NA,0.3326875,0.307,0.317,,,
196,07/14/22,106,3,KBG,45,Yes,NA,NA,NA,0.7,0.882,78.5,NA,0.2206875,0.192,0.207,,,
197,07/14/22,301,1,KBG,75,Yes,NA,NA,NA,0.713,0.885,75.5,NA,0.35453125,0.327,0.334,,,
198,07/14/22,505,3,CBG,75,Yes,NA,NA,NA,0.72,0.895,59,NA,0.347708333,0.322,0.333,,,
199,07/15/22,101,1,CBG,15,No,8,0.7475,0.2797,0.661,0.853,84.5,82.47607667,0.27609375,0.261,0.284,,,
200,07/15/22,102,1,CBG,60,Yes,8,0.7608,0.2962,0.659,0.867,75.5,84.64940078,0.2780625,0.261,0.27,,,
201,07/15/22,103,2,CBG,15,No,8,0.7893,0.3174,0.663,0.868,80,87.46597066,0.258145833,0.246,0.264,,,
202,07/15/22,104,2,KBG,75,No,7,0.7206,0.2908,0.65,0.864,50,88.51582011,0.3345625,0.318,0.342,,,
203,07/15/22,105,3,CBG,15,No,8,0.7918,0.3204,0.676,0.88,80.5,91.27284886,0.171427083,0.165,0.174,,,
204,07/15/22,106,3,KBG,45,No,8,0.8007,0.3282,0.665,0.881,67.5,93.51341657,0.237041667,0.222,0.244,,,
205,07/15/22,201,1,CBG,30,No,8,0.7493,0.2881,0.655,0.845,78.5,88.08071455,0.3073125,0.294,0.314,,,
206,07/15/22,202,1,CBG,45,No,8,0.783,0.3136,0.672,0.866,82.5,87.48485142,0.256885417,0.245,0.263,,,
207,07/15/22,203,2,KBG,45,No,8,0.7802,0.3111,0.67,0.874,81,92.22201715,0.224385417,0.209,0.233,,,
208,07/15/22,204,2,CBG,45,No,9,0.786,0.3191,0.669,0.87,70.5,94.03792766,0.231583333,0.216,0.24,,,
209,07/15/22,205,3,CBG,45,No,8,0.7961,0.3234,0.674,0.874,80,91.51074226,0.23871875,0.227,0.245,,,
210,07/15/22,206,3,KBG,30,No,8,0.8037,0.3307,0.668,0.872,84,92.90847455,0.22809375,0.214,0.236,,,
211,07/15/22,301,1,KBG,75,No,8,0.8131,0.3238,0.679,0.88,55.5,90.75312052,0.375635417,0.362,0.381,,,
212,07/15/22,302,1,KBG,45,No,8,0.8193,0.3488,0.677,0.878,88.5,91.4117573,0.276333333,0.265,0.282,,,
213,07/15/22,303,2,CBG,75,Yes,8,0.809,0.3277,0.678,0.887,79.5,96.78198459,0.317916667,0.309,0.319,,,
214,07/15/22,304,2,CBG,30,No,8,0.8351,0.3693,0.678,0.888,65.5,96.0483531,0.28334375,0.272,0.29,,,
215,07/15/22,305,3,KBG,75,Yes,8,0.8182,0.3435,0.683,0.891,67.5,93.16639572,0.334510417,0.308,0.319,,,
